function,approximation,centre,num_terms,max_absolute_error,mean_squared_error
sin(x),maclaurin,0.0,1,0.1585290151921035,0.0037147331302370672
sin(x),taylor,0.0,1,0.1585290151921035,0.0037147331302370672
sin(x),maclaurin,0.0,2,0.1585290151921035,0.0037147331302370672
sin(x),taylor,0.0,2,0.1585290151921035,0.0037147331302370672
sin(x),maclaurin,0.0,3,0.008137651474563135,6.1855450026384425e-06
sin(x),taylor,0.0,3,0.008137651474563135,6.1855450026384425e-06
sin(x),maclaurin,0.0,5,0.0001956818587701692,2.6332677716949433e-09
sin(x),taylor,0.0,5,0.0001956818587701692,2.6332677716949433e-09
sin(x),maclaurin,0.0,10,2.4892279903987458e-08,2.817132535321391e-17
sin(x),taylor,0.0,10,2.4892279903987458e-08,2.817132535321391e-17
sin(x),maclaurin,0.0,15,2.7755575615628914e-15,2.414923557267155e-31
sin(x),taylor,0.0,15,2.7755575615628914e-15,2.414923557267155e-31
sin(x),maclaurin,0.5,1,0.1585290151921035,0.0037147331302370672
sin(x),taylor,0.5,1,0.08126827479069348,0.0024441322874005226
sin(x),maclaurin,0.5,2,0.1585290151921035,0.0037147331302370672
sin(x),taylor,0.5,2,0.5348310503531895,0.030976826145481556
sin(x),maclaurin,0.5,3,0.008137651474563135,6.1855450026384425e-06
sin(x),taylor,0.5,3,0.04119085928985511,0.00019056081102984543
sin(x),maclaurin,0.5,5,0.0001956818587701692,2.6332677716949433e-09
sin(x),taylor,0.5,5,0.004403443764843917,1.2607142435895751e-06
sin(x),maclaurin,0.5,10,2.4892279903987458e-08,2.817132535321391e-17
sin(x),taylor,0.5,10,2.00280835738198e-06,1.3418989968133357e-13
sin(x),maclaurin,0.5,15,2.7755575615628914e-15,2.414923557267155e-31
sin(x),taylor,0.5,15,1.2527534565265341e-11,3.763197240867349e-24
sin(x),maclaurin,1.0,1,0.1585290151921035,0.0037147331302370672
sin(x),taylor,1.0,1,0.6023373578795135,0.13533513833602273
sin(x),maclaurin,1.0,2,0.1585290151921035,0.0037147331302370672
sin(x),taylor,1.0,2,1.0806046117362784,0.16090170698957568
sin(x),maclaurin,1.0,3,0.008137651474563135,6.1855450026384425e-06
sin(x),taylor,1.0,3,0.3602015372454257,0.01648533734810658
sin(x),maclaurin,1.0,5,0.0001956818587701692,2.6332677716949433e-09
sin(x),taylor,1.0,5,0.05669850439500235,0.00026342558097388344
sin(x),maclaurin,1.0,10,2.4892279903987458e-08,2.817132535321391e-17
sin(x),taylor,1.0,10,3.4063659269500945e-05,5.085026944954638e-11
sin(x),maclaurin,1.0,15,2.7755575615628914e-15,2.414923557267155e-31
sin(x),taylor,1.0,15,2.404829002600195e-09,1.818505606888625e-19
cos(x),maclaurin,0.0,1,0.45969769413186023,0.04471729984897095
cos(x),taylor,0.0,1,0.45969769413186023,0.04471729984897095
cos(x),maclaurin,0.0,2,0.040302305868139765,0.00018558094754459592
cos(x),taylor,0.0,2,0.040302305868139765,0.00018558094754459592
cos(x),maclaurin,0.0,3,0.040302305868139765,0.00018558094754459592
cos(x),taylor,0.0,3,0.040302305868139765,0.00018558094754459592
cos(x),maclaurin,0.0,5,0.0013643607985269757,1.4733775628179522e-07
cos(x),taylor,0.0,5,0.0013643607985269757,1.4733775628179522e-07
cos(x),maclaurin,0.0,10,2.0762526142803495e-09,1.8098767307428434e-19
cos(x),taylor,0.0,10,2.0762526142803495e-09,1.8098767307428434e-19
cos(x),maclaurin,0.0,15,4.773959005888173e-14,7.338607833519042e-29
cos(x),taylor,0.0,15,4.773959005888173e-14,7.338607833519042e-29
cos(x),maclaurin,0.5,1,0.45969769413186023,0.04471729984897095
cos(x),taylor,0.5,1,1.0564185639285333,0.17272984934191787
cos(x),maclaurin,0.5,2,0.040302305868139765,0.00018558094754459592
cos(x),taylor,0.5,2,0.06913818180186482,0.0010192951123131578
cos(x),maclaurin,0.5,3,0.040302305868139765,0.00018558094754459592
cos(x),taylor,0.5,3,0.2005386836629992,0.003375555328560384
cos(x),maclaurin,0.5,5,0.0013643607985269757,1.4733775628179522e-07
cos(x),taylor,0.5,5,0.014915035350548278,1.2970994417103017e-05
cos(x),maclaurin,0.5,10,2.0762526142803495e-09,1.8098767307428434e-19
cos(x),taylor,0.5,10,7.892666826769812e-07,2.1460770855100092e-14
cos(x),maclaurin,0.5,15,4.773959005888173e-14,7.338607833519042e-29
cos(x),taylor,0.5,15,2.8671731655549593e-11,1.9449185325296754e-23
cos(x),maclaurin,1.0,1,0.45969769413186023,0.04471729984897095
cos(x),taylor,1.0,1,1.6829419696157975,0.5489436665634133
cos(x),maclaurin,1.0,2,0.040302305868139765,0.00018558094754459592
cos(x),taylor,1.0,2,0.6023373578795173,0.06629472052767171
cos(x),maclaurin,1.0,3,0.040302305868139765,0.00018558094754459592
cos(x),taylor,1.0,3,0.5196239551976747,0.02910790760750937
cos(x),maclaurin,1.0,5,0.0013643607985269757,1.4733775628179522e-07
cos(x),taylor,1.0,5,0.06496984466319167,0.0003195042417709629
cos(x),maclaurin,1.0,10,2.0762526142803495e-09,1.8098767307428434e-19
cos(x),taylor,1.0,10,3.756657332343316e-05,6.353230608437406e-11
cos(x),maclaurin,1.0,15,4.773959005888173e-14,7.338607833519042e-29
cos(x),taylor,1.0,15,1.9769699211025227e-09,1.2124622609714097e-19
exp(x),maclaurin,0.0,1,0.7182818284590451,0.061134286745734887
exp(x),taylor,0.0,1,0.7182818284590451,0.061134286745734887
exp(x),maclaurin,0.0,2,0.2182818284590451,0.004549680281572544
exp(x),taylor,0.0,2,0.2182818284590451,0.004549680281572544
exp(x),maclaurin,0.0,3,0.05161516179237857,0.00021376807795345365
exp(x),taylor,0.0,3,0.05161516179237857,0.00021376807795345365
exp(x),maclaurin,0.0,5,0.0016151617923783057,1.595515359282542e-07
exp(x),taylor,0.0,5,0.0016151617923783057,1.595515359282542e-07
exp(x),maclaurin,0.0,10,2.7312660577649694e-08,2.9031191099599387e-17
exp(x),taylor,0.0,10,2.7312660577649694e-08,2.9031191099599387e-17
exp(x),maclaurin,0.0,15,5.062616992290714e-14,7.467264884184767e-29
exp(x),taylor,0.0,15,5.062616992290714e-14,7.467264884184767e-29
exp(x),maclaurin,0.5,1,0.7182818284590451,0.061134286745734887
exp(x),taylor,0.5,1,1.1922400765215082,0.24944112091064036
exp(x),maclaurin,0.5,2,0.2182818284590451,0.004549680281572544
exp(x),taylor,0.5,2,0.6625713530161357,0.05132241530076206
exp(x),maclaurin,0.5,3,0.05161516179237857,0.00021376807795345365
exp(x),taylor,0.5,3,0.26483436175268527,0.006211731214918464
exp(x),maclaurin,0.5,5,0.0016151617923783057,1.595515359282542e-07
exp(x),taylor,0.5,5,0.021390361625869603,2.7519967555113353e-05
exp(x),maclaurin,0.5,10,2.7312660577649694e-08,2.9031191099599387e-17
exp(x),taylor,0.5,10,3.1726167794010607e-06,3.408512133727841e-13
exp(x),maclaurin,0.5,15,5.062616992290714e-14,7.467264884184767e-29
exp(x),taylor,0.5,15,4.7546078185689566e-11,5.381842991089791e-23
exp(x),maclaurin,1.0,1,0.7182818284590451,0.061134286745734887
exp(x),taylor,1.0,1,3.0861612696304923,2.28143008815135
exp(x),maclaurin,1.0,2,0.2182818284590451,0.004549680281572544
exp(x),taylor,1.0,2,2.350402387287588,0.8763891663086777
exp(x),maclaurin,1.0,3,0.05161516179237857,0.00021376807795345365
exp(x),taylor,1.0,3,1.2739733839911405,0.19372334590841722
exp(x),maclaurin,1.0,5,0.0016151617923783057,1.595515359282542e-07
exp(x),taylor,1.0,5,0.18666065260752385,0.002803030538470675
exp(x),maclaurin,1.0,10,2.7312660577649694e-08,2.9031191099599387e-17
exp(x),taylor,1.0,10,0.00011934745731645435,6.400379576699803e-10
exp(x),maclaurin,1.0,15,5.062616992290714e-14,7.467264884184767e-29
exp(x),taylor,1.0,15,7.613390362593009e-09,1.8226176821880483e-18
ln(1 + x),maclaurin,0.0,1,inf,inf
ln(1 + x),taylor,0.0,1,inf,inf
ln(1 + x),maclaurin,0.0,2,inf,inf
ln(1 + x),taylor,0.0,2,inf,inf
ln(1 + x),maclaurin,0.0,3,inf,inf
ln(1 + x),taylor,0.0,3,inf,inf
ln(1 + x),maclaurin,0.0,5,inf,inf
ln(1 + x),taylor,0.0,5,inf,inf
ln(1 + x),maclaurin,0.0,10,inf,inf
ln(1 + x),taylor,0.0,10,inf,inf
ln(1 + x),maclaurin,0.0,15,inf,inf
ln(1 + x),taylor,0.0,15,inf,inf
ln(1 + x),maclaurin,0.5,1,inf,inf
ln(1 + x),taylor,0.5,1,inf,inf
ln(1 + x),maclaurin,0.5,2,inf,inf
ln(1 + x),taylor,0.5,2,inf,inf
ln(1 + x),maclaurin,0.5,3,inf,inf
ln(1 + x),taylor,0.5,3,inf,inf
ln(1 + x),maclaurin,0.5,5,inf,inf
ln(1 + x),taylor,0.5,5,inf,inf
ln(1 + x),maclaurin,0.5,10,inf,inf
ln(1 + x),taylor,0.5,10,inf,inf
ln(1 + x),maclaurin,0.5,15,inf,inf
ln(1 + x),taylor,0.5,15,inf,inf
ln(1 + x),maclaurin,1.0,1,inf,inf
ln(1 + x),taylor,1.0,1,inf,inf
ln(1 + x),maclaurin,1.0,2,inf,inf
ln(1 + x),taylor,1.0,2,inf,inf
ln(1 + x),maclaurin,1.0,3,inf,inf
ln(1 + x),taylor,1.0,3,inf,inf
ln(1 + x),maclaurin,1.0,5,inf,inf
ln(1 + x),taylor,1.0,5,inf,inf
ln(1 + x),maclaurin,1.0,10,inf,inf
ln(1 + x),taylor,1.0,10,inf,inf
ln(1 + x),maclaurin,1.0,15,inf,inf
ln(1 + x),taylor,1.0,15,inf,inf
